Epoch	Loss
0	3909098.6809530635
1	569161.4441633665
2	328141.10615740577
3	261275.00737405635
4	245489.14751939412
5	237676.7179934608
6	232006.38786498297
7	226789.38353916846
8	222568.91136868714
9	219193.83541000384
10	216244.81085049314
11	213708.53695572127
12	211488.67903767116
13	209532.55163335527
14	207811.7209416585
15	206333.27376231266
16	205011.68212036358
17	203805.31377370527
18	202669.57153903288
19	201641.1475823415
20	200638.2690846135
21	199718.79967883087
22	198826.92350562772
23	197936.59744827423
24	197074.31803016062
25	196234.0659537106
26	195421.9828508282
27	194613.48584757224
28	193827.2459496376
29	193102.20231925292
30	192374.39313989365
31	191673.0298671927
32	190962.88749228552
33	190272.31613217184
34	189589.52097517278
35	188920.13109974042
36	188265.75056983426
37	187596.47261793198
38	186952.08241799232
39	186286.22887644032
40	185704.48334718143
41	185091.89061283797
42	184515.09383014726
43	183964.24032034882
44	183424.7620247344
45	182892.0861405906
46	182354.56641525702
47	181807.0567014097
48	181320.636926624
49	180811.2125333209
50	180330.78629953152
51	179850.5316245803
52	179391.45684846336
53	178927.15914980404
54	178492.33739648538
55	178038.99937434253
56	177620.16416798905
57	177211.48398998784
58	176793.1071770824
59	176378.68655792627
60	176010.21842274477
61	175626.4702789043
62	175254.29319326408
63	174906.2962859304
64	174544.7108966885
65	174202.93093550726
66	173842.20796034753
67	173515.04733603753
68	173183.4591334489
69	172850.78861387892
70	172525.52504512673
71	172246.4898524924
72	171914.20742348811
73	171635.31729194077
74	171348.97073307208
75	171082.15090003077
76	170816.5320450099
77	170528.95763507686
78	170299.71516510233
79	170039.84410290237
80	169786.80247192454
81	169555.16366390098
82	169318.27421836325
83	169084.01344117813
84	168851.22193675663
85	168611.5591456211
86	168415.5150375588
87	168206.91014780273
88	167987.8756251486
89	167790.82059054737
90	167575.83003856023
91	167385.1770595351
92	167182.40357557515
93	166978.86700623998
94	166827.40263701262
95	166600.5456298933
96	166424.17694305442
97	166226.25367807204
98	166055.6325206622
99	165858.10664515905
100	165708.7451748299
101	165563.56084881388
102	165368.26982446175
101	165546.99278109855
102	165384.93151536628
103	165226.24327246484
104	165087.78641183945
105	164911.79038291966
106	164785.69592716583
107	164632.51068014334
108	164478.45327705078
109	164343.119708551
110	164211.16825320915
111	164073.56792110944
112	163941.34555374578
113	163799.67509025344
114	163666.41508528075
115	163534.76654402187
116	163412.73693788023
117	163259.77162668091
