Epoch	Loss
0	6979912.615988841
1	6756498.778299809
2	6035815.050359712
3	4522306.92934224
4	2866372.9506313317
5	2370876.7535237116
6	2022125.3938481868
7	1562456.4708926736
8	988558.7951383791
9	529102.5768242549
10	414852.2973911687
11	367809.9746595581
12	329212.3014379313
13	298067.40588524076
14	274449.8985074695
15	257994.02488621348
16	247531.69011754883
17	240942.3519903465
18	236509.43393270078
19	233290.7141320107
20	230776.65173753854
21	228690.09634690208
22	226879.97769921817
23	225228.97486831964
24	223715.32261920057
25	222322.7118952797
26	221008.56679681764
27	219728.24435655557
28	218538.38898931874
29	217412.50946997505
30	216336.40115484144
31	215303.9229463368
32	214305.85467901189
33	213329.85209358024
34	212408.88728940318
35	211525.31921707533
36	210674.9736386911
37	209858.247543037
38	209070.91570850462
39	208309.4011341947
40	207554.17645398987
41	206821.69276262663
42	206129.31332357583
43	205463.42410484876
44	204823.424304434
45	204205.9536136397
46	203608.36581907942
47	203028.58934306636
48	202464.1147523308
49	201911.56491108134
50	201366.91318501323
51	200830.94125541404
52	200303.8848255579
53	199784.56873761196
54	199274.1182141022
55	198774.8274321869
56	198287.2605894876
57	197812.430709514
58	197349.59299754075
59	196895.5301236052
60	196447.46753872413
61	196002.35932453017
62	195555.26454678093
63	195106.40706898767
64	194667.83482142858
65	194235.4657516334
66	193805.34071263397
67	193375.3621852518
68	192944.12060683087
69	192512.42313445162
70	192083.7719245522
71	191657.40778703569
72	191227.6056562913
73	190811.82950374394
74	190406.0565812656
75	190008.64175827705
76	189617.20856427104
77	189230.9578347526
78	188848.8974797203
79	188470.1321391866
80	188094.0693822493
81	187719.53087377036
82	187345.91550662532
83	186973.34011617236
84	186602.05179351417
85	186231.67621311115
86	185861.94494429967
87	185493.06675093598
88	185124.91197373733
89	184757.45149620099
90	184390.24728609968
91	184023.1695235648
92	183656.0312752349
93	183289.15843855529
94	182923.03321373512
95	182557.21008754222
96	182192.18773858465
97	181828.8212175158
98	181466.9715602518
99	181107.61438757158
100	180750.8047345287
101	180396.67052149097
102	180045.4928057554
103	179697.59784493834
104	179352.6829921267
105	179010.26906612466
106	178670.35692950743
107	178332.91961762222
108	177997.58106830862
109	177664.59083422038
110	177333.7635488548
111	177004.89578898106
112	176677.55695290706
113	176351.62754643225
114	176028.36191684406
115	175706.75333444978
116	175365.25422225994
117	175009.61342405668
118	174675.8596732308
119	174348.58125871752
120	174026.00319336366
121	173707.37836541992
122	173391.80449020886
123	173079.5060231152
124	172771.11650386325
125	172466.21442221224
126	172164.45761796174
127	171865.57823626304
128	171569.45521835083
129	171275.9165607565
130	170985.0491415541
131	170696.80475517546
132	170411.2876711386
133	170128.3691913816
134	169847.9466488034
135	169569.89319552013
136	169294.1445123238
137	169020.57772009433
138	168748.60443125092
139	168478.03580146088
140	168209.5394983758
141	167944.8415029456
142	167682.9841650914
143	167423.8208619329
144	167167.40976338828
145	166913.8172648106
146	166662.97382221773
147	166414.94268233373
148	166169.39312669763
149	165925.26639581192
150	165684.2544803443
151	165446.592562812
152	165211.70808366063
153	164979.55839359126
154	164750.0195559114
155	164523.11492897518
156	164299.06799777015
157	164077.7607466323
158	163858.98416165027
159	163642.7064984492
160	163422.61241924827
161	163173.2128507653
162	162956.94603398914
163	162746.55245650417
164	162540.04306911613
165	162335.11812463295
166	162134.50446313867
167	161917.17347168183
168	161706.33196873622
169	161507.7000991044
170	161312.8250635461
171	161120.75662301792
172	160931.05568083798
173	160740.9296622651
174	160557.21894385002
175	160376.60326126852
176	160198.43971264316
177	160022.80160769343
178	159842.21688146933
179	159663.8849712322
180	159492.9323291367
181	159325.42428264022
182	159160.63368081045
183	158998.54152634525
184	158839.0440727775
185	158681.99354674423
186	158527.11909273601
187	158374.4007155245
188	158223.83793220526
189	158075.33843346243
190	157928.90517292797
191	157784.35477651042
192	157641.6275062858
193	157500.79769398767
194	157361.81070373295
195	157224.65447093855
196	157089.2377323906
197	156953.9084913192
198	156813.64971759837
199	156681.91712854206
200	156552.00098301462
201	156423.58761447476
202	156296.61482230033
203	156171.1741472893
204	156047.20139755541
205	155924.25763356153
206	155800.37188807628
207	155672.59945767876
208	155536.2058687234
209	155411.1452108721
210	155293.5167479537
211	155177.76525679967
212	155063.68379620282
213	154951.41662613786
214	154840.7122738034
215	154731.456520243
216	154623.3385711074
217	154516.27948240898
218	154410.03623045443
219	154304.4220849086
220	154199.46070923875
221	154095.00937247652
222	153991.08347365475
223	153888.7740419909
224	153787.9294752973
225	153688.51211734695
226	153590.17795890837
227	153492.6158844608
228	153395.71080788432
229	153299.4106615218
230	153204.00938968212
231	153109.75005964615
232	153016.77827228015
233	152925.0886261654
234	152834.62483253193
235	152745.25223099583
236	152656.9849576971
237	152568.9531089414
238	152480.97610253634
