Epoch	Loss
0	7004810.550229263
1	6967229.653188828
2	6872899.754689454
3	6676339.979679033
4	6319278.973634847
5	5740408.131513131
6	4901917.696957066
7	3841159.405846186
8	2768603.104184035
9	2153088.3246925804
10	1964343.6159337224
11	1788858.2421581908
12	1596500.5297780326
13	1381865.0224312213
14	1143204.9661186952
15	891501.717056586
16	662076.5296803355
17	521676.1765579408
18	477366.59299447684
19	449483.5180413714
20	422800.2159688933
21	396960.12384066277
22	372364.9761033243
23	348558.93426297413
24	326115.2768340975
25	305488.77145099523
26	286996.58019943204
27	271360.62380484055
28	258796.62285718007
29	249105.94782982493
30	241906.03358495727
31	236591.93249140267
32	232584.28658751043
33	229443.81692567214
34	226892.85115868592
35	224750.215206857
36	222919.0243656211
37	221302.09784675908
38	219849.4238126563
39	218535.5362716236
40	217321.15133258648
41	216169.14647379116
42	215106.23296165068
43	214088.63217095664
44	213116.72292491663
45	212161.62144383075
46	211252.96482258232
47	210369.33637387975
48	209513.47323429032
49	208680.72634431013
50	207865.896714777
51	207088.48634847853
52	206347.99824471134
53	205610.8475048197
54	204901.12995323574
55	204207.2967154283
56	203532.62544289287
57	202883.49016842956
58	202235.69498033036
59	201603.93104223112
60	200983.3966105669
61	200387.39391087432
62	199810.05243395685
63	199252.01466431326
64	198707.15667661006
65	198172.5077831909
66	197660.82182354626
67	197155.33009522196
68	196678.83679397666
69	196220.21442853793
70	195764.08651391204
71	195318.97190561172
72	194888.9588956336
73	194469.29834371092
74	194062.03638234682
75	193665.70647600564
76	193273.095322921
77	192861.22751341705
78	192470.11388534284
79	192103.07759417986
80	191748.21899749895
81	191407.97030989474
82	191086.0019767351
83	190771.24483508753
84	190463.6868812526
85	190165.78744398706
86	189871.45768093478
87	189588.46807914757
88	189313.11555921737
89	189035.62531263026
90	188767.27628699457
91	188505.48352503648
92	188251.51112117028
93	187992.85348387348
94	187756.40653332116
95	187525.30992080033
96	187294.77281549605
97	187072.82951555334
98	186855.87812304607
99	186639.85500143288
100	186427.81310572114
101	186217.44943205503
102	186011.57256278658
103	185810.38518653606
104	185609.6430316017
105	185412.03230187058
106	185218.16370102126
107	185031.77436887767
108	184835.1134978116
109	184652.49593255002
110	184470.376947426
111	184285.5588200813
112	184108.71750273553
113	183923.17689011045
114	183743.86119867655
115	183570.2585810494
116	183394.5293416528
117	183223.97432849626
118	183057.25326633494
119	182885.7098400375
120	182712.11469297102
121	182544.71493330554
122	182368.9277303043
123	182206.19880028136
124	182043.12184438828
125	181879.371779257
126	181718.87617724834
127	181558.46191772615
128	181400.77457404128
129	181247.68270633597
130	181093.48693140372
131	180941.1976279179
132	180790.10794536787
133	180642.00047545854
134	180491.7073780742
135	180343.92915667986
136	180197.36935311588
137	180054.180586312
138	179907.17155260005
139	179762.55475914443
140	179621.19434204357
141	179472.70418664027
142	179335.1488966757
143	179189.28266334932
144	179047.62556338578
145	178906.3096993539
146	178766.19102360358
147	178626.4144076959
148	178486.74181625157
149	178352.8345111244
150	178214.42565261567
151	178074.75771154647
152	177940.0184907774
153	177806.4342287802
151	178074.87047011775
152	177939.85015566382
153	177804.45395216756
154	177670.4015279804
155	177539.03685780533
156	177403.75116585035
157	177270.96719661838
158	177137.24796464673
159	177006.86928147144
160	176876.77412463527
161	176746.71445784703
162	176617.46162789184
163	176494.11258271677
164	176361.9671086911
165	176237.41776521466
166	176116.4304918716
167	175985.86911213005
168	175865.11868552002
169	175739.25272900166
170	175617.81280611714
171	175496.87281158817
172	175374.96703379013
173	175249.84664834305
174	175133.74067645374
175	175010.81002338213
176	174891.37520842018
177	174773.76804788454
178	174650.85786069717
179	174532.64786434453
180	174418.6056006409
181	174296.1633949041
182	174177.85686744476
183	174062.49889276782
184	173944.3157500521
185	173829.09469114736
186	173707.8382236088
187	173590.68220156836
188	173475.0477363615
189	173361.64411278136
190	173247.8276381435
191	173136.14490738328
192	173017.6269865048
193	172904.20801147615
194	172792.15643236766
195	172679.3800769852
196	172564.93017924135
197	172452.27615673197
198	172342.87579460192
199	172231.6141996014
200	172119.02438678878
201	172008.72164834305
202	171896.90191551167
203	171789.44346114265
204	171682.79341327117
205	171576.06920201125
206	171465.55708270374
207	171359.99150036473
208	171254.49150524958
209	171147.14296158554
210	171042.856442463
211	170936.85632359836
212	170835.12911467018
213	170730.61587836078
214	170627.06538857336
215	170523.1512300047
216	170412.483850693
217	170308.72302749843
218	170205.1864692971
219	170100.28051564455
220	169998.924496535
221	169902.83064069666
222	169802.3361133545
223	169703.6809803564
224	169604.2909822452
225	169501.3200959384
226	169407.32635017193
227	169307.47782767558
228	169210.12291254167
229	169117.8443687474
230	169020.038762896
231	168923.45892819925
232	168824.7008388912
233	168730.15212067528
234	168637.2892383545
235	168541.66487989787
236	168451.2735677626
237	168349.7108821384
238	168257.65650564036
239	168161.69660209984
240	168067.39835120103
